# time  xt  vt  xtrue  vtrue  Et  dE/T  t/T
0.273  2.8065  -0.72192  1.9029  -2.3635  19.335  2.7484e-11  0.13609
0.274  2.8058  -0.72515  1.896  -2.3699  19.335  2.864e-11  0.13659
0.275  2.8051  -0.72838  1.8892  -2.3763  19.335  2.9817e-11  0.13708
0.276  2.8044  -0.73163  1.8823  -2.3827  19.335  3.1014e-11  0.13758
0.277  2.8036  -0.73488  1.8753  -2.3891  19.335  3.2233e-11  0.13808
0.278  2.8029  -0.73813  1.8684  -2.3954  19.335  3.3473e-11  0.13858
0.279  2.8022  -0.74139  1.8614  -2.4017  19.335  3.4735e-11  0.13908
0.28  2.8014  -0.74466  1.8545  -2.408  19.335  3.6019e-11  0.13958
0.281  2.8007  -0.74794  1.8475  -2.4143  19.335  3.7325e-11  0.14008
0.282  2.7999  -0.75122  1.8405  -2.4205  19.335  3.8654e-11  0.14057
0.283  2.7992  -0.75451  1.8334  -2.4267  19.335  4.0006e-11  0.14107
0.284  2.7984  -0.75781  1.8264  -2.4329  19.335  4.1381e-11  0.14157
0.285  2.7976  -0.76112  1.8193  -2.4391  19.335  4.2779e-11  0.14207
0.286  2.7969  -0.76443  1.8122  -2.4452  19.335  4.4202e-11  0.14257
0.287  2.7961  -0.76775  1.8051  -2.4513  19.335  4.5649e-11  0.14307
0.288  2.7954  -0.77107  1.798  -2.4574  19.335  4.712e-11  0.14356
0.289  2.7946  -0.7744  1.7909  -2.4635  19.335  4.8616e-11  0.14406
0.29  2.7938  -0.77774  1.7837  -2.4695  19.335  5.0138e-11  0.14456
0.291  2.793  -0.78109  1.7766  -2.4756  19.335  5.1684e-11  0.14506
0.292  2.7922  -0.78445  1.7694  -2.4816  19.335  5.3257e-11  0.14556
0.293  2.7915  -0.78781  1.7622  -2.4875  19.335  5.4856e-11  0.14606
0.294  2.7907  -0.79118  1.755  -2.4935  19.335  5.6482e-11  0.14656
0.295  2.7899  -0.79455  1.7477  -2.4994  19.335  5.8135e-11  0.14705
0.296  2.7891  -0.79794  1.7405  -2.5053  19.335  5.9815e-11  0.14755
0.297  2.7883  -0.80133  1.7332  -2.5112  19.335  6.1522e-11  0.14805
0.298  2.7875  -0.80472  1.7259  -2.517  19.335  6.3258e-11  0.14855
0.299  2.7867  -0.80813  1.7186  -2.5229  19.335  6.5022e-11  0.14905
0.3  2.7859  -0.81154  1.7113  -2.5287  19.335  6.6815e-11  0.14955
0.301  2.785  -0.81496  1.7039  -2.5344  19.335  6.8638e-11  0.15004
0.302  2.7842  -0.81839  1.6966  -2.5402  19.335  7.049e-11  0.15054
0.303  2.7834  -0.82183  1.6892  -2.5459  19.335  7.2371e-11  0.15104
0.304  2.7826  -0.82527  1.6818  -2.5516  19.335  7.4284e-11  0.15154
0.305  2.7818  -0.82872  1.6744  -2.5573  19.335  7.6227e-11  0.15204
0.306  2.7809  -0.83218  1.667  -2.5629  19.335  7.8201e-11  0.15254
0.307  2.7801  -0.83564  1.6595  -2.5686  19.335  8.0207e-11  0.15304
0.308  2.7793  -0.83912  1.6521  -2.5742  19.335  8.2245e-11  0.15353
0.309  2.7784  -0.8426  1.6446  -2.5797  19.335  8.4315e-11  0.15403
0.31  2.7776  -0.84609  1.6371  -2.5853  19.335  8.6419e-11  0.15453
0.311  2.7767  -0.84958  1.6296  -2.5908  19.335  8.8556e-11  0.15503
0.312  2.7759  -0.85309  1.6221  -2.5963  19.335  9.0726e-11  0.15553
0.313  2.775  -0.8566  1.6145  -2.6018  19.335  9.2931e-11  0.15603
0.314  2.7742  -0.86012  1.607  -2.6072  19.335  9.5171e-11  0.15653
0.315  2.7733  -0.86365  1.5994  -2.6127  19.335  9.7445e-11  0.15702
0.316  2.7724  -0.86718  1.5918  -2.6181  19.335  9.9756e-11  0.15752
0.317  2.7716  -0.87073  1.5842  -2.6234  19.335  1.021e-10  0.15802
0.318  2.7707  -0.87428  1.5766  -2.6288  19.335  1.0449e-10  0.15852
0.319  2.7698  -0.87784  1.569  -2.6341  19.335  1.0691e-10  0.15902
0.32  2.7689  -0.88141  1.5613  -2.6394  19.335  1.0936e-10  0.15952
0.321  2.768  -0.88498  1.5537  -2.6447  19.335  1.1186e-10  0.16001
0.322  2.7672  -0.88857  1.546  -2.6499  19.335  1.1439e-10  0.16051
