i	t	sum
675	-5.919	3.19815e-25
676	-5.91888	3.21408e-25
677	-5.91876	3.2297e-25
678	-5.91864	3.245e-25
679	-5.91852	3.25997e-25
680	-5.9184	3.2746e-25
681	-5.91828	3.28889e-25
682	-5.91816	3.30281e-25
683	-5.91804	3.31638e-25
684	-5.91792	3.32957e-25
685	-5.9178	3.34239e-25
686	-5.91768	3.35482e-25
687	-5.91756	3.36685e-25
688	-5.91744	3.37849e-25
689	-5.91732	3.38972e-25
690	-5.9172	3.40055e-25
691	-5.91708	3.41096e-25
692	-5.91696	3.42095e-25
693	-5.91684	3.43052e-25
694	-5.91672	3.43967e-25
695	-5.9166	3.44839e-25
696	-5.91648	3.45668e-25
697	-5.91636	3.46455e-25
698	-5.91624	3.47198e-25
699	-5.91612	3.479e-25
700	-5.916	3.48558e-25
701	-5.91588	3.49175e-25
702	-5.91576	3.4975e-25
703	-5.91564	3.50284e-25
704	-5.91552	3.50777e-25
705	-5.9154	3.51231e-25
706	-5.91528	3.51645e-25
707	-5.91516	3.52021e-25
708	-5.91504	3.52361e-25
709	-5.91492	3.52664e-25
710	-5.9148	3.52933e-25
711	-5.91468	3.53169e-25
712	-5.91456	3.53374e-25
713	-5.91444	3.53549e-25
714	-5.91432	3.53695e-25
715	-5.9142	3.53816e-25
716	-5.91408	3.53913e-25
717	-5.91396	3.53989e-25
718	-5.91384	3.54045e-25
719	-5.91372	3.54085e-25
720	-5.9136	3.54111e-25
721	-5.91348	3.54126e-25
722	-5.91336	3.54133e-25
723	-5.91324	3.54135e-25
724	-5.91312	3.54135e-25
725	-5.913	3.54138e-25
726	-5.91288	3.54145e-25
727	-5.91276	3.54162e-25
728	-5.91264	3.54192e-25
729	-5.91252	3.54239e-25
730	-5.9124	3.54306e-25
731	-5.91228	3.544e-25
732	-5.91216	3.54522e-25
733	-5.91204	3.54679e-25
734	-5.91192	3.54875e-25
735	-5.9118	3.55114e-25
736	-5.91168	3.55402e-25
737	-5.91156	3.55743e-25
738	-5.91144	3.56141e-25
739	-5.91132	3.56603e-25
740	-5.9112	3.57134e-25
741	-5.91108	3.57737e-25
742	-5.91096	3.5842e-25
743	-5.91084	3.59186e-25
744	-5.91072	3.60041e-25
745	-5.9106	3.6099e-25
746	-5.91048	3.6204e-25
747	-5.91036	3.63193e-25
748	-5.91024	3.64457e-25
749	-5.91012	3.65836e-25
750	-5.91	3.67335e-25
751	-5.90988	3.6896e-25
752	-5.90976	3.70714e-25
753	-5.90964	3.72603e-25
754	-5.90952	3.74631e-25
755	-5.9094	3.76803e-25
756	-5.90928	3.79123e-25
757	-5.90916	3.81595e-25
758	-5.90904	3.84223e-25
759	-5.90892	3.87011e-25
760	-5.9088	3.89961e-25
761	-5.90868	3.93078e-25
762	-5.90856	3.96363e-25
763	-5.90844	3.9982e-25
764	-5.90832	4.03451e-25
765	-5.9082	4.07256e-25
766	-5.90808	4.11239e-25
767	-5.90796	4.15399e-25
768	-5.90784	4.19738e-25
769	-5.90772	4.24256e-25
770	-5.9076	4.28952e-25
771	-5.90748	4.33826e-25
772	-5.90736	4.38876e-25
773	-5.90724	4.44102e-25
774	-5.90712	4.49501e-25
775	-5.907	4.5507e-25
776	-5.90688	4.60806e-25
777	-5.90676	4.66705e-25
778	-5.90664	4.72764e-25
779	-5.90652	4.78978e-25
780	-5.9064	4.8534e-25
781	-5.90628	4.91846e-25
782	-5.90616	4.9849e-25
783	-5.90604	5.05263e-25
784	-5.90592	5.12159e-25
785	-5.9058	5.19169e-25
786	-5.90568	5.26286e-25
787	-5.90556	5.33499e-25
788	-5.90544	5.40801e-25
789	-5.90532	5.4818e-25
790	-5.9052	5.55626e-25
791	-5.90508	5.63128e-25
792	-5.90496	5.70675e-25
793	-5.90484	5.78256e-25
794	-5.90472	5.85857e-25
795	-5.9046	5.93468e-25
796	-5.90448	6.01074e-25
797	-5.90436	6.08664e-25
798	-5.90424	6.16224e-25
799	-5.90412	6.23741e-25
800	-5.904	6.31202e-25
801	-5.90388	6.38592e-25
802	-5.90376	6.459e-25
803	-5.90364	6.5311e-25
804	-5.90352	6.60211e-25
805	-5.9034	6.67188e-25
806	-5.90328	6.74029e-25
807	-5.90316	6.80721e-25
808	-5.90304	6.87253e-25
809	-5.90292	6.93611e-25
810	-5.9028	6.99785e-25
811	-5.90268	7.05763e-25
812	-5.90256	7.11536e-25
813	-5.90244	7.17094e-25
814	-5.90232	7.22427e-25
815	-5.9022	7.27528e-25
816	-5.90208	7.3239e-25
817	-5.90196	7.37005e-25
818	-5.90184	7.4137e-25
819	-5.90172	7.45479e-25
820	-5.9016	7.4933e-25
821	-5.90148	7.5292e-25
822	-5.90136	7.56249e-25
823	-5.90124	7.59316e-25
824	-5.90112	7.62125e-25
825	-5.901	7.64677e-25
826	-5.90088	7.66977e-25
827	-5.90076	7.69032e-25
828	-5.90064	7.70847e-25
