i	t	sum
722	-5.91336	1.41653e-22
723	-5.91324	1.41654e-22
724	-5.91312	1.41654e-22
725	-5.913	1.41655e-22
726	-5.91288	1.41658e-22
727	-5.91276	1.41665e-22
728	-5.91264	1.41677e-22
729	-5.91252	1.41695e-22
730	-5.9124	1.41723e-22
731	-5.91228	1.4176e-22
732	-5.91216	1.41809e-22
733	-5.91204	1.41872e-22
734	-5.91192	1.4195e-22
735	-5.9118	1.42046e-22
736	-5.91168	1.42161e-22
737	-5.91156	1.42297e-22
738	-5.91144	1.42457e-22
739	-5.91132	1.42641e-22
740	-5.9112	1.42853e-22
741	-5.91108	1.43095e-22
742	-5.91096	1.43368e-22
743	-5.91084	1.43674e-22
744	-5.91072	1.44016e-22
745	-5.9106	1.44396e-22
746	-5.91048	1.44816e-22
747	-5.91036	1.45277e-22
748	-5.91024	1.45783e-22
749	-5.91012	1.46335e-22
750	-5.91	1.46934e-22
751	-5.90988	1.47584e-22
752	-5.90976	1.48286e-22
753	-5.90964	1.49041e-22
754	-5.90952	1.49852e-22
755	-5.9094	1.50721e-22
756	-5.90928	1.51649e-22
757	-5.90916	1.52638e-22
758	-5.90904	1.53689e-22
759	-5.90892	1.54804e-22
760	-5.9088	1.55984e-22
761	-5.90868	1.57231e-22
762	-5.90856	1.58545e-22
763	-5.90844	1.59928e-22
764	-5.90832	1.6138e-22
765	-5.9082	1.62903e-22
766	-5.90808	1.64496e-22
767	-5.90796	1.6616e-22
768	-5.90784	1.67895e-22
769	-5.90772	1.69702e-22
770	-5.9076	1.71581e-22
771	-5.90748	1.7353e-22
772	-5.90736	1.75551e-22
773	-5.90724	1.77641e-22
774	-5.90712	1.798e-22
775	-5.907	1.82028e-22
776	-5.90688	1.84322e-22
777	-5.90676	1.86682e-22
778	-5.90664	1.89106e-22
779	-5.90652	1.91591e-22
780	-5.9064	1.94136e-22
781	-5.90628	1.96739e-22
782	-5.90616	1.99396e-22
783	-5.90604	2.02105e-22
784	-5.90592	2.04863e-22
785	-5.9058	2.07668e-22
786	-5.90568	2.10514e-22
787	-5.90556	2.134e-22
788	-5.90544	2.1632e-22
789	-5.90532	2.19272e-22
790	-5.9052	2.2225e-22
791	-5.90508	2.25251e-22
792	-5.90496	2.2827e-22
793	-5.90484	2.31302e-22
794	-5.90472	2.34343e-22
795	-5.9046	2.37387e-22
796	-5.90448	2.4043e-22
797	-5.90436	2.43466e-22
798	-5.90424	2.4649e-22
799	-5.90412	2.49496e-22
800	-5.904	2.52481e-22
801	-5.90388	2.55437e-22
802	-5.90376	2.5836e-22
803	-5.90364	2.61244e-22
804	-5.90352	2.64084e-22
805	-5.9034	2.66875e-22
806	-5.90328	2.69612e-22
807	-5.90316	2.72289e-22
808	-5.90304	2.74901e-22
809	-5.90292	2.77444e-22
810	-5.9028	2.79914e-22
811	-5.90268	2.82305e-22
812	-5.90256	2.84614e-22
813	-5.90244	2.86837e-22
814	-5.90232	2.88971e-22
815	-5.9022	2.91011e-22
816	-5.90208	2.92956e-22
817	-5.90196	2.94802e-22
818	-5.90184	2.96548e-22
819	-5.90172	2.98192e-22
820	-5.9016	2.99732e-22
821	-5.90148	3.01168e-22
822	-5.90136	3.025e-22
823	-5.90124	3.03727e-22
824	-5.90112	3.0485e-22
825	-5.901	3.05871e-22
826	-5.90088	3.06791e-22
827	-5.90076	3.07613e-22
828	-5.90064	3.08339e-22
829	-5.90052	3.08973e-22
830	-5.9004	3.09519e-22
831	-5.90028	3.09982e-22
832	-5.90016	3.10366e-22
833	-5.90004	3.10678e-22
834	-5.89992	3.10924e-22
835	-5.8998	3.1111e-22
836	-5.89968	3.11245e-22
837	-5.89956	3.11335e-22
838	-5.89944	3.11389e-22
839	-5.89932	3.11417e-22
840	-5.8992	3.11426e-22
841	-5.89908	3.11428e-22
842	-5.89896	3.11432e-22
843	-5.89884	3.11448e-22
844	-5.89872	3.11487e-22
845	-5.8986	3.1156e-22
846	-5.89848	3.11678e-22
847	-5.89836	3.11852e-22
848	-5.89824	3.12093e-22
849	-5.89812	3.12413e-22
850	-5.898	3.12824e-22
851	-5.89788	3.13335e-22
852	-5.89776	3.13958e-22
853	-5.89764	3.14704e-22
854	-5.89752	3.15584e-22
855	-5.8974	3.16606e-22
856	-5.89728	3.17783e-22
857	-5.89716	3.19121e-22
858	-5.89704	3.2063e-22
859	-5.89692	3.22318e-22
860	-5.8968	3.24192e-22
861	-5.89668	3.26259e-22
862	-5.89656	3.28525e-22
863	-5.89644	3.30993e-22
864	-5.89632	3.33669e-22
865	-5.8962	3.36554e-22
866	-5.89608	3.39651e-22
867	-5.89596	3.4296e-22
868	-5.89584	3.46482e-22
869	-5.89572	3.50214e-22
870	-5.8956	3.54154e-22
871	-5.89548	3.58298e-22
872	-5.89536	3.62641e-22
873	-5.89524	3.67177e-22
874	-5.89512	3.71897e-22
